Product,Keyword1,Keyword2,Keyword3,Keyword4,Keyword5,Keyword6
goal-save,Organized,Disciplined,Goal-Oriented,Strategic,Patient,Consistent
money-pot,Organized,Streamlined,Goal-Oriented,Transparent,Efficient,Strategic
overdraft,Risk-taker,Self-reliant,Organized,Convenient,Timely,Strategic
installment-loan,Responsible,Self-reliant,Practical,Immediate,Temporary,Flexible
visa-credit-card,Self-reliant,Convenient,Impulsive,Flexible,Responsive,Immediate
term-deposit,Risk-free,Disciplined,Stability,Reliable,Predictable,Secured
vinacapital-investments,Adventurous,Caution,Risk-taker,Opportunistic,Ambitious,Analytical
spending-prediction,none,none,none,none,none,none
setting-budget,Disciplined,Controllable,Caution,Goal-Oriented,Timely,Strategic
category-report,none,none,none,none,none,none
cashflow-overview,none,none,none,none,none,none
asset-tracker,none,none,none,none,none,none
split-bill,Convenient,Trustworthy,Transparent,Collaborative,Social,Reliable
schedule-payment,Caution,Strategic,Organized,Convenient,Timely,Flexibility
present,Generous,Optimistic,Thoughtful,Practical,Personal,Appreciative
liberty-travel-insurance,Secured,Stable,Reliable,Predictable,Responsible,Protective
shared-pot,Collaborative,Committed,Engaged,Supportive,Transparent,Trustworthy
tags,Analytical,Caution,Organized,Disciplined,Accurate,Insightful
pfm,Disciplined,Controllable,Caution,Goal-Oriented,Timely,Strategic
